"Contract ","Sales Order","Created Date","Product: Product Name","Quantity Ordered","Customer ","Product: Metal: Metal Name","Product: Product Code"
"CON-63245","SO-35208","9/12/2023","2017 American Liberty High Relief OGP","1.000000","Upstate Coins","Gold","2017ALHROGP"
"CON-61576","SO-34464","7/20/2023","2017 American Liberty High Relief OGP","2.000000","Upstate Coins","Gold","2017ALHROGP"
"CON-61576","SO-34464","7/20/2023","2019 American Liberty High Relief SP70","1.000000","Upstate Coins","Gold","2019ALHRSP70"
"CON-57348","SO-32198","2/23/2023","Gold Maple 1/10 oz Assorted Animal","213.000000","Upstate Coins","Gold","G.10ANIMAL"
"CON-56147","SO-31608","1/11/2023","Gold Maple 1/10 oz Assorted Animal","50.000000","Manor Auctions LLC","Gold","G.10ANIMAL"
"CON-56613","SO-31804","1/20/2023","Gold Maple 1/10 oz Assorted Animal","25.000000","The Bronze Look, LLC","Gold","G.10ANIMAL"
"CON-56670","SO-31826","1/23/2023","Gold Maple 1/10 oz Assorted Animal","15.000000","The Bronze Look, LLC","Gold","G.10ANIMAL"
"CON-57237","SO-32138","2/17/2023","Gold Maple 1/10 oz Assorted Animal","25.000000","Manor Auctions LLC","Gold","G.10ANIMAL"
"CON-57348","SO-32198","2/23/2023","Gold Maple 1/10 oz Polar Bear","45.000000","Upstate Coins","Gold","G.10POLAR"
"CON-61120","SO-34284","7/6/2023","Gold Austrian 1000 Shilling","12.000000","Dillon Gage Inc. of Dallas","Gold","G1000SHIL"
"CON-62927","SO-35058","8/30/2023","Gold 100 Corona","9.000000","Dillon Gage Inc. of Dallas","Gold","G100COR"
"CON-63488","SO-35298","9/20/2023","Gold 100 Corona","31.000000","Dillon Gage Inc. of Dallas","Gold","G100COR"
"CON-58197","SO-32715","3/21/2023","Gold 100 Corona","11.000000","Northeast Arkansas Coin Co.","Gold","G100COR"
"CON-59272","SO-33393","4/21/2023","Gold 100 Corona","2.000000","Seraphina Fine Jewelry, Inc.","Gold","G100COR"
"CON-61179","SO-34314","7/11/2023","Gold 100 Corona","28.000000","Dillon Gage Inc. of Dallas","Gold","G100COR"
"CON-62658","SO-34950","8/22/2023","Gold 100 Corona","13.000000","Dillon Gage Inc. of Dallas","Gold","G100COR"
"CON-59038","SO-33252","4/13/2023","Gold 100 Corona","54.000000","Dillon Gage Inc. of Dallas","Gold","G100COR"
"CON-61120","SO-34284","7/6/2023","Gold 100 Corona","9.000000","Dillon Gage Inc. of Dallas","Gold","G100COR"
"CON-60875","SO-34195","6/23/2023","Gold 100 Corona","18.000000","Dillon Gage Inc. of Dallas","Gold","G100COR"
"CON-61498","SO-34438","7/17/2023","Gold 100 Corona","2.000000","Dillon Gage Inc. of Dallas","Gold","G100COR"
"CON-62408","SO-34839","8/15/2023","Gold 100 Corona","10.000000","DFW Coin And Silver, LLC dba Mike & Sam","Gold","G100COR"
"CON-62069","SO-34666","8/1/2023","Gold 100 Corona","101.000000","Dillon Gage Inc. of Dallas","Gold","G100COR"
"CON-62875","SO-35042","8/29/2023","Gold 100 Corona","40.000000","Dillon Gage Inc. of Dallas","Gold","G100COR"
