Date,Customer,Metal,Code,Quantity,Unit Price,Total Price
7/16/2020,Central Refining,Gold,G1000SHIL,10.0,$696.26,"$6,962.60"
7/27/2020,Central Refining,Gold,G1000SHIL,10.0,$750.71,"$7,507.10"
10/9/2020,Central Refining,Gold,G1000SHIL,8.0,$747.46,"$5,979.68"
8/3/2020,Central Refining,Gold,G1000SHIL,90.0,$766.66,"$68,999.40"
6/5/2020,In God We Trust Coins,Gold,G1000SHIL,3.0,$664.00,"$1,992.00"
5/22/2020,Upstate Coins,Gold,G1000SHIL,30.0,$672.84,"$20,185.20"
6/16/2020,Central Refining,Gold,G1000SHIL,17.0,$670.23,"$11,393.91"
5/19/2020,Central Refining,Gold,G1000SHIL,92.0,$675.27,"$62,124.84"
8/20/2020,Elemetal Direct,Gold,G100COR,1.0,"$1,894.73","$1,894.73"
12/1/2020,Central Refining,Gold,G100COR,4.0,"$1,765.15","$7,060.60"
11/13/2020,Central Refining,Gold,G100COR,5.0,"$1,834.94","$9,174.70"
7/16/2020,Central Refining,Gold,G100COR,2.0,"$1,747.24","$3,494.48"
10/14/2020,PGS Gold and Coin,Gold,G100COR,2.0,"$1,873.17","$3,746.34"
12/8/2020,Central Refining,Gold,G100COR,5.0,"$1,818.88","$9,094.40"
7/27/2020,Central Refining,Gold,G100COR,24.0,"$1,883.90","$45,213.60"
7/31/2020,Central Refining,Gold,G100COR,6.0,"$1,913.58","$11,481.48"
8/6/2020,Central Refining,Gold,G100COR,16.0,"$2,004.88","$32,078.08"
11/6/2020,Central Refining,Gold,G100COR,4.0,"$1,900.74","$7,602.96"
12/28/2020,Central Refining,Gold,G100COR,11.0,"$1,830.85","$20,139.35"
9/25/2020,Elemetal Direct,Gold,G100COR,5.0,"$1,804.29","$9,021.45"
8/3/2020,Central Refining,Gold,G100COR,24.0,"$1,923.90","$46,173.60"
9/16/2020,Central Refining,Gold,G100COR,1.0,"$1,913.29","$1,913.29"
7/20/2020,Central Refining,Gold,G100COR,4.0,"$1,767.10","$7,068.40"
10/13/2020,Elemetal Direct,Gold,G100COR,10.0,"$1,836.81","$18,368.10"
1/14/2020,Central Refining,Gold,G100COR,7.0,"$1,502.05","$10,514.35"
3/19/2020,"Iowa Bullion Traders, LLC",Gold,G100COR,12.0,"$1,453.00","$17,436.00"
6/15/2020,Upstate Coins,Gold,G100COR,1.0,"$1,669.34","$1,669.34"
6/16/2020,Upstate Coins,Gold,G100COR,9.0,"$1,677.66","$15,098.94"
2/26/2020,Central Refining,Gold,G100COR,1.0,"$1,597.25","$1,597.25"
1/16/2020,Central Refining,Gold,G100COR,4.0,"$1,511.11","$6,044.44"
